Year	Location	Longitude	Latitude	CitationCount
1986	"Philadelphia, PA, USA"	-75.16245	39.95228	10
1995	"Montreal, Canada"	-73.55468	45.5124	0
1995	"Montreal, Canada"	-73.55468	45.5124	0
1995	"Montreal, Canada"	-73.55468	45.5124	0
1995	"Montreal, Canada"	-73.55468	45.5124	2
1995	"Montreal, Canada"	-73.55468	45.5124	0
1995	"Montreal, Canada"	-73.55468	45.5124	0
1995	"Montreal, Canada"	-73.55468	45.5124	1
1995	"Montreal, Canada"	-73.55468	45.5124	0
1995	"Montreal, Canada"	-73.55468	45.5124	2
1995	"Montréal, Canada"	-73.55468	45.5124	90
1996	"New Orleans, Louisiana, USA"	-90.07775	29.9537	0
2000	"San Francisco, CA, USA"	-122.429047	37.77986	2
2001	"Baltimore, MD, USA"	-76.60926	39.29058	0
2003	"Baltimore, MD, USA"	-76.60926	39.29058	3
2004	"Aachen, Germany"	6.08864	50.77823	0
2004	"Bacelona,Spain"	2.16835	41.3875	17
2004	"San Francisco, CA, USA"	-122.429047	37.77986	0
2004	"San Francisco, CA, USA"	-122.429047	37.77986	0
2004	"San Francisco, CA, USA"	-122.429047	37.77986	0
2004	"San Francisco, CA, USA"	-122.429047	37.77986	7
2004	"San Francisco, CA, USA"	-122.429047	37.77986	15
2004	"San Francisco, CA, USA"	-122.429047	37.77986	3
2004	"San Francisco, CA, USA"	-122.429047	37.77986	5
2004	"San Francisco, CA, USA"	-122.429047	37.77986	6
2004	"San Francisco, CA, USA"	-122.429047	37.77986	10
2004	"San Francisco, CA, USA"	-122.429047	37.77986	0
2004	"San Francisco, CA, USA"	-122.429047	37.77986	4
2004	"San Francisco, CA, USA"	-122.429047	37.77986	2
2004	"San Francisco, CA, USA"	-122.429047	37.77986	4
2004	"San Francisco, CA, USA"	-122.429047	37.77986	7
2004	"San Francisco, CA, USA"	-122.429047	37.77986	2
2004	"San Francisco, CA, USA"	-122.429047	37.77986	12
2004	"San Francisco, CA, USA"	-122.429047	37.77986	8
2004	"San Francisco, CA, USA"	-122.429047	37.77986	20
2004	"San Francisco, CA, USA"	-122.429047	37.77986	2
2004	"San Francisco, CA, USA"	-122.429047	37.77986	3
2005	"Shanghai, China"	121.4747	31.25516	3
2005	"Shanghai, China"	121.4747	31.25516	1
2005	"Shanghai, China"	121.4747	31.25516	6
2005	"Shanghai, China"	121.4747	31.25516	9
2005	"Shanghai, China"	121.4747	31.25516	3
2005	"Shanghai, China"	121.4747	31.25516	8
2005	"Shanghai, China"	121.4747	31.25516	9
2005	"Shanghai, China"	121.4747	31.25516	6
2005	"Shanghai, China"	121.4747	31.25516	10
2005	"Shanghai, China"	121.4747	31.25516	4
2005	"Shanghai, China"	121.4747	31.25516	0
2005	"Shanghai, China"	121.4747	31.25516	0
2005	"Shanghai, China"	121.4747	31.25516	8
2005	"Shanghai, China"	121.4747	31.25516	0
2005	"Shanghai, China"	121.4747	31.25516	2
2005	"Shanghai, China"	121.4747	31.25516	11
2005	"Shanghai, China"	121.4747	31.25516	3
2005	"Shanghai, China"	121.4747	31.25516	5
2005	"Shanghai, China"	121.4747	31.25516	1
2005	"Shanghai, China"	121.4747	31.25516	12
2005	"Shanghai, China"	121.4747	31.25516	26
2005	"Shanghai, China"	121.4747	31.25516	12
2005	"Shanghai, China"	121.4747	31.25516	1
2005	"Shanghai, China"	121.4747	31.25516	2
2005	"Shanghai, China"	121.4747	31.25516	0
