"PaperTitle"	"Year"	"EstimatedCitation"	"Location"	"Longitude"	"Latitude"	"CitationCount"
"a non rigid registration framework that accommodates pathology detection"	2011	1	"Washington, USA - United States of America"	-77.03196	38.89037	1
"using multiparametric data with missing features for learning patterns of pathology"	2012	14	"Nice, France"	7.27768	43.70028	14
"identifying neutrophils in h e staining histology tissue images"	2014	13	"Boston"	-71.05674	42.35866	13
"estimation of fractal dimension in differential diagnosis of pigmented skin lesions"	2013	0	"Berlin, Germany"	13.4023285	52.5014076	0
"enhanced laboratory diagnosis of human chlamydia pneumoniae infection through pattern recognition derived from pathology database analysis"	2008	2	"Melbourne, Australia"	144.967148	-37.81753	2
"change detection in diffusion mri using multivariate statistical testing on tensors"	2010	3	"Beijing, China"	116.38765	39.90657	3
"lookahead and pathology in decision tree induction"	1995	128	"Montréal, Canada"	-73.55468	45.5124	90
"monitoring of anti angiogenic drug response with dynamic fluorescence imaging"	2010	3	"New York, NY, USA"	-74.00712	40.71455	3
"magnetic resonance elastography of intervertebral disc a new biomarker for disc degeneration"	2012	0	"Philadelphia, PA, USA"	-75.16245	39.95228	0
"induction of apoptosis by targeted ultrasound contrast agents in cancer therapy"	2013	0	"Syracuse, NY, USA"	-76.14738	43.05028	0
"propagation and electrical impedance changes due to ischemia hypoxia and reperfusion in mouse hearts"	2006	3	"New York, NY, USA"	-74.00712	40.71455	3
"characterization of texture features between carcinomatous and normal wall tissue in mr bladder imaging"	2009	1	"Tianjin, China"	117.200829	39.08349	1
"development of a real time tactile sensing system for brain tumor diagnosis"	2010	14	"Geneva (CH)"	6.14275	46.20833	14
"digital imaging in pathology towards detection and analysis of human breast cancer"	2010	3	"Liverpool, United Kingdom"	-2.97843	53.41009	3
"viable circulating tumor cell enrichment by flexible micro spring array"	2012	1	"San Diego, CA, USA"	-117.1625	32.715	1
"leptin inhibitor as a novel therapeutic for osteoarthritis"	2012	0	"Philadelphia, PA, USA"	-75.16245	39.95228	0
"role of adam19 and neuregulin 1 in muc5ac expression in lungs of cigarette smoke exposed mice"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"analysis of ultrasound images for identification of chronic kidney disease stages"	2014	10	"Bilbao, Spain"	-2.94616	43.26867	10
"expression of c erbb 2 in breast cancer cell lines as experimental receptor of magnetic nanoparticles"	2013	3	"Osaka, Japan"	135.5016	34.68714	3
"comparative study on pattern discovery of traditional chinese medicine common syndrome elements"	2014	3	"Shenzhen, China"	114.11879	22.55622	3
"infrared photon discrimination of lung cancer cells"	2012	7	"Manchester, United Kingdom"	-2.24874	53.47959	7
"true mri assessment of stem cell chondrogenesis in a tissue engineered matrix"	2014	7	"Chicago, IL, USA"	-87.63245	41.88425	7
"in vivo multi harmonic generation biopsy of human skin and mucosa"	2012	0	"San Jose, CA, USA"	-121.9	37.3333321	0
"unsupervised inference of arbor morphology progression for microglia from confocal microscope images"	2013	5	"San Francisco, CA, USA"	-122.429047	37.77986	5
"neuroimaging biomarker based prediction of alzheimer s disease severity with optimized graph construction"	2013	17	"San Francisco, CA, USA"	-122.429047	37.77986	17
"information extraction from pathology reports in a hospital setting"	2011	53	"Glasgow, Scotland, UK"	-4.24253	55.85781	36
"detection and identification of colon cancer and rectum cancer using fluorescence and raman spectrum"	2005	3	"Shanghai, China"	121.4747	31.25516	3
